"indicativo","nombre","provincia","altitud","latitud","longitud","mu_smooth","sigma_smooth","xi_smooth","rl20_mean","rl20_sd","rl50_mean","rl50_sd","rl100_mean","rl100_sd"
"4263X","VALSEQUILLO","CORDOBA",575,38.4094444444444,-5.35055555555556,33.2266404795021,9.7038818115773,0.0943404959833382,66.6610969971741,4.30254469376272,79.2212107191028,5.41069290626557,89.3857411531614,6.32376833842881
"4267X","HINOJOSA DEL DUQUE","CORDOBA",551,38.4983333333333,-5.12138888888889,28.4288710339335,8.39873494510517,0.0943837402790385,57.3684292251071,3.72589317507704,68.2419181459829,4.69950543170977,77.042283596979,5.5076921226878
"4527X","AROCHE","HUELVA",267,37.9802777777778,-6.97583333333333,43.542562416767,13.1677323138892,0.0941428253809125,88.8960829744407,5.81472365217066,105.929245284536,7.33712472144139,119.71220518754,8.60083433986487
"4541X","EL GRANADO","HUELVA",60,37.5536111111111,-7.52,43.4736494195422,14.13862188104,0.0939303231882578,92.1709973402494,6.40971465934599,110.44961921333,8.08165005151916,125.237859069844,9.46920716663546
"4549Y","AYAMONTE","HUELVA",3,37.1947222222222,-7.395,42.4936357677543,14.2562822843091,0.0938896557789941,91.5840976294641,6.28564304914623,110.010031288624,7.94734747654387,124.916388896097,9.31930860093023
"4554X","CARTAYA","HUELVA",15,37.2183333333333,-7.08361111111111,45.5447813666876,15.2352308522042,0.0942350303521357,98.0286430584383,6.8432296574767,117.734037377587,8.51254846218317,133.680072175855,9.89312420322723
"4560Y","ALAJAR","HUELVA",572,37.8686111111111,-6.675,60.2854622902724,17.0938140996357,0.0941821091049322,119.133254767422,7.14435972594296,141.236134154855,8.96673878082002,159.121660714256,10.4814771239193
"4575X","VALVERDE DEL CAMINO","HUELVA",280,37.5752777777778,-6.76777777777778,50.25731825392,14.871052472397,0.0937647050605628,101.369120356549,5.54837899633679,120.551715260223,6.9122894539834,136.068616847388,8.05173257380699
"4584X","EL CERRO DE AND<U+00C9>VALO","HUELVA",270,37.7316666666667,-6.94222222222222,51.7457701314219,15.569727295357,0.0940289904843578,105.32547601619,6.41104943780332,125.444972838416,8.0547016284601,141.724491340704,9.43242772820189
"4589X","ALOSNO, THARSIS","HUELVA",276,37.5977777777778,-7.11944444444444,52.8053229680225,16.0606181858782,0.0941697020271953,108.080924778305,6.55957144423312,128.8402297562,8.20147028966887,145.638793379289,9.5750266692396
"4605","HUELVA","HUELVA",17,37.2566666666667,-6.94972222222222,44.7637774248197,14.2078470344695,0.0942827693470637,93.6057842699196,4.75168361029186,111.957559673977,5.94168514394972,126.808626079361,6.93830837134041
"4608X","EL CAMPILLO","HUELVA",415,37.6772222222222,-6.63,59.7100348347204,17.5761800230605,0.0939241061897134,120.186156827409,7.33176964434633,142.888754744573,9.18007252865212,161.256334293095,10.7265903610216
"4622X","VILLARRASA","HUELVA",145,37.4508333333333,-6.63666666666667,45.1571328057879,13.7941712483097,0.094325445532604,92.7020902957081,6.4852405077003,110.558162604302,8.0974141473064,125.009964610484,9.44495717845515
"4642E","HUELVA, RONDA ESTE","HUELVA",18,37.2783333333333,-6.91166666666667,45.0111340502235,14.6928607315599,0.0938441313782332,95.4920740735387,4.95287977986178,114.448008184138,6.28028537043459,129.783197939974,7.39723665438788
"5038Y","CAZORLA","JAEN",799,37.9158333333333,-3.00388888888889,36.5899823064198,10.5205340966277,0.09396130110705,72.8196779193842,4.82303422615604,86.4198020244619,6.04084959836144,97.423361514262,7.05359926053205
"5047E","BAZA","GRANADA",785,37.5058333333333,-2.735,21.5414005237803,7.06843713722381,0.0935761967397012,45.8505806914999,2.89396475687467,54.9701018135796,3.64022212681676,62.3459059212746,4.25983712873253
"5051X","HU<U+00C9>SCAR","GRANADA",1100,37.8613888888889,-2.65277777777778,31.6490310364761,9.5032206672424,0.0942716710371937,64.424854120137,4.65857584275493,76.7318819284874,5.83626437272432,86.6914567204778,6.80981476770798
"5060X","V<U+00C9>LEZ BLANCO - TOPARES","ALMERIA",1190,37.8608333333333,-2.22805555555556,27.8626594117202,10.1313745018684,0.0942136716857629,62.8372770809259,5.25529376500549,75.9703431112876,6.67530842164054,86.5988654338925,7.85305847119066
"5107D","D<U+00D3>LAR","GRANADA",1197,37.18,-2.98638888888889,26.9434092824884,9.26195694090382,0.0937811679313393,58.9047468843174,5.10108090996001,70.8839453879287,6.32301718781816,80.5739918414268,7.32656526843573
"5164B","BAEZA","JAEN",771,37.9966666666667,-3.46194444444444,31.7257426347384,8.97083244050364,0.0940004051862798,62.6204790413225,4.11384876193712,74.214010494934,5.08936451309245,83.5933850833082,5.89153520704475
"5165X","TORRES","JAEN",910,37.7808333333333,-3.56361111111111,36.0717877465501,10.3292210496676,0.0946467171932155,71.6285950218301,3.99785796045303,84.9959773956364,4.9887183951892,95.8169316829222,5.8171935236679
"5181D","ARROYO DEL OJANCO","JAEN",580,38.3147222222222,-2.88972222222222,33.3965271441126,9.39964379511604,0.0936681271937116,65.7277742257561,3.92110680319326,77.8603510748308,4.93176437044131,87.6738834867516,5.77032899411815
"5192","VILLARRODRIGO","JAEN",862,38.4891666666667,-2.6375,35.802090381451,10.5045169778109,0.0938352497810426,72.0071314265375,5.14325698489098,85.5928639200121,6.48249043676314,96.5829283461626,7.58391683217483
"5210X","VILLANUEVA DEL ARZOBISPO","JAEN",680,38.175,-2.99805555555556,36.8787700113252,10.1426802978291,0.09419418379947,71.8064268450826,4.4119947806151,84.9247018397896,5.52576708619762,95.5401275805576,6.45096951598794
"5246","SANTA ELENA","JAEN",770,38.3444444444444,-3.53527777777778,41.1717011844586,12.1698639449395,0.093987820684443,83.0647383479031,5.26318066469566,98.7909074280646,6.58440810929937,111.513992657351,7.67428178493319
"5270","JA<U+00C9>N, INSTITUTO","JAEN",510,37.7763888888889,-3.78888888888889,41.239128274026,11.9325768802873,0.0944687185279044,82.2679040383482,3.9931437355096,97.6893406067985,4.97153639526822,110.170728487226,5.79016974370421
"5270B","JA<U+00C9>N","JAEN",580,37.7775,-3.80916666666667,36.9965682237081,10.8945608079915,0.0940753712816015,74.417607861661,3.2905533408556,88.4771130606628,4.16313076849157,99.8531637976257,4.9022171093788
