"indicativo","indsinop","nombre","provincia","altitud","longitud","latitud"
"4263X","","VALSEQUILLO","CORDOBA",575,-5.35055555555556,38.4094444444444
"4267X","08335","HINOJOSA DEL DUQUE","CORDOBA",551,-5.12138888888889,38.4983333333333
"4527X","","AROCHE","HUELVA",267,-6.97583333333333,37.9802777777778
"4541X","","EL GRANADO","HUELVA",60,-7.52,37.5536111111111
"4549Y","08381","AYAMONTE","HUELVA",3,-7.395,37.1947222222222
"4554X","","CARTAYA","HUELVA",15,-7.08361111111111,37.2183333333333
"4560Y","08380","ALAJAR","HUELVA",572,-6.675,37.8686111111111
"4575X","","VALVERDE DEL CAMINO","HUELVA",280,-6.76777777777778,37.5752777777778
"4584X","","EL CERRO DE AND<U+00C9>VALO","HUELVA",270,-6.94222222222222,37.7316666666667
"4589X","","ALOSNO, THARSIS","HUELVA",276,-7.11944444444444,37.5977777777778
"4605","","HUELVA","HUELVA",17,-6.94972222222222,37.2566666666667
"4608X","","EL CAMPILLO","HUELVA",415,-6.63,37.6772222222222
"4622X","","VILLARRASA","HUELVA",145,-6.63666666666667,37.4508333333333
"4642E","08383","HUELVA, RONDA ESTE","HUELVA",18,-6.91166666666667,37.2783333333333
"5038X","08353","CAZORLA","JAEN",782,-3.00388888888889,37.9158333333333
"5038Y","","CAZORLA","JAEN",799,-3.00388888888889,37.9158333333333
"5047E","08424","BAZA","GRANADA",785,-2.735,37.5058333333333
"5051X","08423","HU<U+00C9>SCAR","GRANADA",1100,-2.65277777777778,37.8613888888889
"5060X","","V<U+00C9>LEZ BLANCO - TOPARES","ALMERIA",1190,-2.22805555555556,37.8608333333333
"5103E","","CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA","GRANADA",2152,-3.25694444444444,37.1583333333333
"5103F","","CAMARATE, PARQUE NACIONAL SIERRA NEVADA","GRANADA",1534,-3.25388888888889,37.1911111111111
"5107D","","D<U+00D3>LAR","GRANADA",1197,-2.98638888888889,37.18
"5164B","","BAEZA","JAEN",771,-3.46194444444444,37.9966666666667
"5165X","","TORRES","JAEN",910,-3.56361111111111,37.7808333333333
"5181D","08352","ARROYO DEL OJANCO","JAEN",580,-2.88972222222222,38.3147222222222
"5192","08354","VILLARRODRIGO","JAEN",862,-2.6375,38.4891666666667
"5210X","","VILLANUEVA DEL ARZOBISPO","JAEN",680,-2.99805555555556,38.175
"5246","08350","SANTA ELENA","JAEN",770,-3.53527777777778,38.3444444444444
"5270","","JA<U+00C9>N, INSTITUTO","JAEN",510,-3.78888888888889,37.7763888888889
"5270B","08417","JA<U+00C9>N","JAEN",580,-3.80916666666667,37.7775
"5279X","","LINARES","JAEN",515,-3.62944444444444,38.1511111111111
"5281X","","BAIL<U+00C9>N","JAEN",345,-3.7825,38.0930555555556
"5298X","08347","AND<U+00DA>JAR","JAEN",202,-4.06333333333333,38.0230555555556
"5346X","","CARDE<U+00D1>A","CORDOBA",720,-4.2725,38.1866666666667
"5361X","","MONTORO","CORDOBA",155,-4.33027777777778,38.0133333333333
"5390Y","08346","VILLANUEVA DE C<U+00D3>RDOBA","CORDOBA",750,-4.60888888888889,38.3330555555556
"5394X","","C<U+00D3>RDOBA, EMBALSE DE GUADANU<U+00D1>O","CORDOBA",525,-4.79666666666667,38.0208333333333
"5402","08410","C<U+00D3>RDOBA AEROPUERTO","CORDOBA",90,-4.84666666666667,37.8488888888889
